strikePrice,expiryDate,underlying,identifier,pe_openInterest,pe_changeinOpenInterest,pe_pchangeinOpenInterest,pe_totalTradedVolume,pe_impliedVolatility,pe_lastPrice,pe_change,pe_pChange,pe_totalBuyQuantity,pe_totalSellQuantity,pe_bidQty,pe_bidprice,pe_askQty,pe_askPrice,pe_underlyingValue,ce_openInterest,ce_changeinOpenInterest,ce_pchangeinOpenInterest,ce_totalTradedVolume,ce_impliedVolatility,ce_lastPrice,ce_change,ce_pChange,ce_totalBuyQuantity,ce_totalSellQuantity,ce_bidQty,ce_bidprice,ce_askQty,ce_askPrice,ce_underlyingValue
20400,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE20400.00,53385,23658,79.58421636895751,477242,52.33,1.8,-0.19999999999999996,-9.999999999999998,3608250,237375,3150,1.8,1050,1.85,24346.7,0,0,0,0,0,0,0,0,1650,1650,150,3856.35,150,3971.75,24346.7
20450,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE20450.00,5144,3711,258.9672016748081,107510,51.97,1.9,-0.4500000000000002,-19.148936170212774,342450,39225,75,1.85,27525,1.9,24346.7,0,0,0,0,0,0,0,0,1650,1650,150,3383.75,150,4137.05,24346.7
20500,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE20500.00,47258,18322,63.319048935581975,289224,51.46,1.95,-0.30000000000000004,-13.333333333333336,840075,84000,6150,1.95,525,2,24346.7,0,0,0,0,0,0,0,0,900,900,150,3753.6,150,3877.25,24346.7
20550,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE20550.00,7410,6781,1078.060413354531,82855,50.53,1.85,-0.2999999999999998,-13.953488372093014,137625,9525,1500,1.85,600,2.3,24346.7,0,0,0,0,0,0,0,0,150,150,150,3163.15,150,4772.6,24346.7
20600,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE20600.00,10139,8850,686.5787432117921,112420,50.43,2.05,-0.40000000000000036,-16.32653061224491,330375,18000,2325,2,1800,2.45,24346.7,1,0,0,0,0,3593.65,0,0,1650,1650,150,3653.95,150,3770.25,24346.7
20650,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE20650.00,1917,1745,1014.5348837209302,56577,49.9,2.1,-0.44999999999999973,-17.647058823529402,73875,9975,750,2.1,5400,2.55,24346.7,0,0,0,0,0,0,0,0,150,150,150,3063.3,150,4672.5,24346.7
20700,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE20700.00,2637,1706,183.2438238453276,65103,49.62,2.25,-0.3999999999999999,-15.094339622641506,138825,10425,150,2.3,750,2.45,24346.7,0,0,0,0,0,0,0,0,1650,1650,150,3557.5,150,3672.95,24346.7
20750,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE20750.00,662,455,219.80676328502415,23370,49.42,2.45,-0.1499999999999999,-5.769230769230766,109200,8400,75,2.3,1500,3.15,24346.7,0,0,0,0,0,0,0,0,150,150,150,2963.4,150,4572.45,24346.7
20800,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE20800.00,5653,3938,229.62099125364432,67162,48.54,2.35,-0.44999999999999973,-16.071428571428566,124425,8400,1575,2.35,750,2.5,24346.7,0,0,0,0,0,0,0,0,1650,1650,150,3458,150,3573.65,24346.7
20850,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE20850.00,876,566,182.58064516129033,28567,49.59,3.2,0.3500000000000001,12.280701754385968,100125,21150,525,2.4,6075,3.2,24346.7,0,0,0,0,0,0,0,0,1650,1650,150,3408.8,150,3523.85,24346.7
20900,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE20900.00,3290,1344,69.06474820143885,68752,47.55,2.5,-0.3500000000000001,-12.280701754385968,118350,6975,525,2.6,1275,2.9,24346.7,0,0,0,0,0,0,0,0,1650,1650,150,3359.2,150,3473.9,24346.7
20950,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE20950.00,1400,925,194.73684210526315,30451,47.1,2.6,-0.44999999999999973,-14.754098360655728,94500,8175,75,2.45,4500,3.65,24346.7,0,0,0,0,0,0,0,0,150,150,150,2763.65,150,4372.3,24346.7
21000,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21000.00,43106,-1482,-3.3237642414999553,282909,46.92,2.85,-0.25,-8.064516129032258,623625,182925,1800,2.8,2850,2.85,24346.7,30,0,0,0,0,3365,0,0,1650,1650,150,3257.4,150,3368.35,24346.7
21050,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21050.00,826,411,99.03614457831326,27865,46.26,2.85,-0.19999999999999973,-6.55737704918032,115425,6825,75,2.5,4575,3.7,24346.7,1,0,0,0,0,3142.8,0,0,1650,1650,150,3209.25,150,3330.05,24346.7
21100,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21100.00,5824,4267,274.05266538214516,80760,45.59,2.85,-0.3999999999999999,-12.307692307692305,207300,7050,5400,2.85,1125,3.65,24346.7,0,0,0,0,0,0,0,0,150,150,150,2613.85,150,4222.15,24346.7
21150,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21150.00,1349,986,271.6253443526171,30216,44.92,2.85,-0.44999999999999973,-13.63636363636363,163800,4950,825,2.9,300,3.7,24346.7,0,0,0,0,0,0,0,0,150,150,150,2563.9,150,4172.1,24346.7
21200,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21200.00,3249,1789,122.53424657534246,67952,44.53,3,-0.4500000000000002,-13.04347826086957,171525,11625,750,2.9,1125,4.35,24346.7,0,0,0,0,0,0,0,0,150,150,150,2513.95,150,4122.1,24346.7
21250,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21250.00,1248,979,363.9405204460966,30305,44.11,3.15,-0.3999999999999999,-11.267605633802814,160200,7275,450,2.85,1800,3.8,24346.7,0,0,0,0,0,0,0,0,1650,1650,150,3010.35,150,3121.8,24346.7
21300,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21300.00,3419,1820,113.82113821138212,56809,43.28,3.05,-0.6500000000000004,-17.567567567567576,221100,3300,1275,3.05,1500,4.55,24346.7,0,0,0,0,0,0,0,0,1650,1650,150,2960.75,150,3079.8,24346.7
21350,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21350.00,1478,1102,293.0851063829787,35122,43.83,3.85,0.1499999999999999,4.054054054054052,165375,14175,150,3.1,225,3.8,24346.7,1,0,0,0,0,2847.95,0,0,1650,1650,150,2911.6,150,3023.95,24346.7
21400,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21400.00,5394,-290,-5.1020408163265305,121612,42.65,3.5,-0.3500000000000001,-9.090909090909092,176175,59850,75,3.5,3075,4,24346.7,1,0,0,0,0,2960,0,0,1650,1650,150,2861.9,150,2973.9,24346.7
21450,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21450.00,1588,1176,285.43689320388347,31809,42.54,3.9,-0.050000000000000266,-1.2658227848101333,164475,23775,675,3,2250,3.95,24346.7,0,0,0,0,0,0,0,0,1650,1650,150,2811.95,150,2922.3,24346.7
21500,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21500.00,51467,21248,70.31337899996691,265966,41.58,3.7,-0.5499999999999998,-12.94117647058823,271575,80700,1575,3.7,1500,3.8,24346.7,180,-3,-1.639344262295082,11,66.05,2940.3,104.35000000000036,3.6795430102787554,2100,1950,150,2759.9,75,2836.4,24346.7
21550,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21550.00,1233,633,105.5,38403,41.37,4,-0.2999999999999998,-6.976744186046507,139650,9600,1500,3.45,1050,4.05,24346.7,11,0,0,0,0,2495.35,0.9499999999998181,0.038085311096849664,1650,1650,150,2710.25,150,2824.8,24346.7
21600,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21600.00,4018,-1579,-28.21154189744506,103291,40.81,4.15,-0.1999999999999993,-4.597701149425271,149850,12300,675,4,1050,4.25,24346.7,351,1,0.2857142857142857,2,0,2749.9,-40.65000000000009,-1.456702083818605,1725,1725,75,2672.05,75,2762.55,24346.7
21650,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21650.00,709,-170,-19.340159271899886,33663,40,4.25,-0.20000000000000018,-4.494382022471914,128325,8175,1575,4.25,1500,4.7,24346.7,7,0,0,0,0,2396.35,0,0,150,150,150,2064.55,150,3671.45,24346.7
